Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Danny,2022,Spring,10W - 9L,52.6%,4.4,10.4,472,25.8%,65.3%
Destiny,2022,Spring,5W - 12L,29.4%,2.3,1,218,12.7%,65.4%
Dhokla,2022,Spring,0W - 1L,0%,0.2,7.9,338,21.1%,16.7%
Eyla,2022,Spring,5W - 2L,71.4%,3.3,1.1,234,12.4%,65.9%
FBI,2022,Spring,12W - 6L,66.7%,5.8,9,439,23.4%,68.8%
FakeGod,2022,Spring,8W - 10L,44.4%,2.4,8.2,372,21%,50.9%
Fudge,2022,Spring,13W - 5L,72.2%,5.8,8.9,406,21.3%,68.5%
Hans sama,2022,Spring,14W - 4L,77.8%,5.5,10,453,23.8%,67.7%
Huhi,2022,Spring,12W - 6L,66.7%,3.8,1.4,244,13%,67.1%
Huni,2022,Spring,5W - 13L,27.8%,2.5,7.5,385,21.7%,62.3%
Impact,2022,Spring,10W - 9L,52.6%,3.0,8.1,385,21.2%,53.9%
Inspired,2022,Spring,10W - 9L,52.6%,5.4,6,341,18.8%,71.9%
Jenkins,2022,Spring,6W - 11L,35.3%,1.7,8.2,379,22.1%,48.3%
Joey,2022,Spring,0W - 1L,0%,0.8,1.3,226,12.6%,50%
Johnsun,2022,Spring,10W - 10L,50%,4.2,9.4,438,25.2%,70.2%
Josedeodo,2022,Spring,10W - 10L,50%,3.6,5.7,326,18.8%,71.2%
Keaiduo,2022,Spring,1W - 8L,11.1%,1.9,9.7,402,23.4%,48.5%
Kumo,2022,Spring,10W - 10L,50%,2.5,7.5,358,20.7%,52.8%
Licorice,2022,Spring,9W - 10L,47.4%,2.3,7.9,376,21.1%,48.4%
Lost,2022,Spring,9W - 10L,47.4%,4.0,8.8,421,23.6%,64.6%
Luger,2022,Spring,6W - 11L,35.3%,3.3,9.6,417,24.3%,59.7%
Neo,2022,Spring,8W - 10L,44.4%,3.7,9.7,431,24.3%,62%
Olleh,2022,Spring,9W - 10L,47.4%,2.4,1.1,229,12.9%,70.8%
Palafox,2022,Spring,6W - 11L,35.3%,2.7,8.3,375,21.9%,64.2%
Poome,2022,Spring,6W - 11L,35.3%,2.8,0.9,224,13%,69.1%
PowerOfEvil,2022,Spring,5W - 13L,27.8%,3.2,8.9,402,23.3%,74.3%
Pridestalkr,2022,Spring,9W - 10L,47.4%,4.3,6.5,365,20.5%,73.7%
Prismal,2022,Spring,0W - 1L,0%,2.0,7.9,367,22.9%,66.7%
Revenge,2022,Spring,5W - 13L,27.8%,1.9,8.4,389,22.5%,52.7%
River,2022,Spring,8W - 10L,44.4%,3.6,5.3,315,17.9%,71.3%
RoseThorn,2022,Spring,0W - 1L,0%,1.0,5.6,326,20.3%,83.3%
Santorin,2022,Spring,14W - 4L,77.8%,6.1,5.7,353,18.5%,69.8%
Shenyi,2022,Spring,4W - 9L,30.8%,1.8,1,230,12.7%,65.6%
Spica,2022,Spring,5W - 13L,27.8%,2.7,5.3,332,18.6%,73.1%
Summit,2022,Spring,13W - 5L,72.2%,2.5,9,446,23.3%,58.1%
Tactical,2022,Spring,5W - 13L,27.8%,2.6,9.2,435,24.3%,70.6%
Takeover,2022,Spring,4W - 5L,44.4%,3.7,9.2,406,22%,63.5%
Toucouille,2022,Spring,10W - 10L,50%,4.0,8.5,389,22.4%,66.2%
Triple,2022,Spring,0W - 1L,0%,1.3,8.1,365,22.7%,83.3%
Vulcan,2022,Spring,10W - 9L,52.6%,3.0,1.1,227,12.5%,63.6%
WildTurtle,2022,Spring,3W - 5L,37.5%,3.1,8.8,406,22.9%,65.8%
Winsome,2022,Spring,13W - 5L,72.2%,3.7,1,240,12.6%,68.1%
Xerxe,2022,Spring,5W - 12L,29.4%,2.2,5.7,329,18.9%,63.6%
Yursan,2022,Spring,1W - 4L,20%,1.8,1.1,219,12.8%,71.5%
jojopyun,2022,Spring,10W - 9L,52.6%,3.1,8.6,395,21.8%,57.7%
ssumday,2022,Spring,12W - 6L,66.7%,5.3,8.8,421,22.6%,58.1%
Abbedagge,2021,Summer,18W - 8L,69.2%,4.5,8.4,398,21.8%,69%
Ablazeolive,2021,Summer,11W - 16L,40.7%,2.8,8,391,22.4%,66%
Akaadian,2021,Summer,9W - 11L,45%,3.5,6.3,366,20.7%,72.4%
Alphari,2021,Summer,6W - 6L,50%,3.8,8.6,405,22.7%,72.1%
Aphromoo,2021,Summer,12W - 15L,44.4%,3.1,1.3,230,13.1%,66.9%
Armao,2021,Summer,8W - 7L,53.3%,3.0,5.7,326,18%,65.4%
Blaber,2021,Summer,15W - 12L,55.6%,4.0,6.5,367,20%,73.2%
Broxah,2021,Summer,7W - 20L,25.9%,3.1,5.5,318,19%,72.1%
Chime,2021,Summer,11W - 16L,40.7%,2.5,1.2,227,13.1%,70.8%
Closer,2021,Summer,18W - 8L,69.2%,5.2,6.4,371,20.2%,70%
Contractz,2021,Summer,4W - 0L,100%,6.6,7.3,410,21.3%,69.7%
CoreJJ,2021,Summer,15W - 12L,55.6%,4.8,1.2,236,13%,71.2%
Damonte,2021,Summer,2W - 7L,22.2%,1.9,8.7,383,22.9%,57.4%
Danny,2021,Summer,18W - 9L,66.7%,4.4,9,439,23.8%,58.5%
Dardoch,2021,Summer,3W - 4L,42.9%,3.8,6.1,351,20.6%,83.7%
Destiny,2021,Summer,13W - 14L,48.1%,4.1,1.1,224,12.7%,71.5%
Diamond,2021,Summer,5W - 8L,38.5%,2.1,1.2,224,13.1%,67.8%
Dreams,2021,Summer,3W - 11L,21.4%,1.6,1.2,217,13.5%,63%
FBI,2021,Summer,18W - 8L,69.2%,4.6,8.5,416,22.7%,67.7%
FakeGod,2021,Summer,12W - 15L,44.4%,3.0,7.3,361,20.8%,52.7%
Finn,2021,Summer,7W - 20L,25.9%,1.9,7.5,363,21.6%,61%
Fudge,2021,Summer,15W - 12L,55.6%,5.5,8.3,403,21.9%,63.7%
Huhi,2021,Summer,18W - 8L,69.2%,4.4,1.8,252,13.7%,64.7%
Huni,2021,Summer,18W - 9L,66.7%,2.3,8,392,22%,63.6%
Iconic,2021,Summer,11W - 16L,40.7%,3.0,6.2,347,19.9%,71.4%
IgNar,2021,Summer,18W - 9L,66.7%,4.7,1.4,239,12.9%,61.4%
Impact,2021,Summer,18W - 9L,66.7%,3.3,7.1,378,20.4%,64.9%
Insanity,2021,Summer,13W - 13L,50%,3.6,8,384,21.8%,68.9%
Jenkins,2021,Summer,9W - 6L,60%,3.0,7.6,378,20.6%,59%
Jensen,2021,Summer,15W - 12L,55.6%,4.4,9,416,23%,65.9%
Jiizuke,2021,Summer,18W - 9L,66.7%,3.6,9.1,440,23.8%,60.5%
Johnsun,2021,Summer,3W - 11L,21.4%,1.6,8.5,373,23.1%,51%
