Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Cinkrof,2022,Spring,4W - 14L,22.2%,2.5,5.7,324,18.9%,63.3%
Comp,2022,Spring,14W - 4L,77.8%,6.7,10,482,25.1%,68.7%
Dajor,2022,Spring,3W - 15L,16.7%,2.1,8,372,21.8%,62%
Elyoya,2022,Spring,8W - 10L,44.4%,3.8,6,355,19.7%,74.3%
Finn,2022,Spring,9W - 9L,50%,2.8,8.3,401,22.6%,54.7%
Flakked,2022,Spring,11W - 7L,61.1%,5.0,9.2,433,23.8%,64.2%
Gilius,2022,Spring,7W - 11L,38.9%,2.3,4.9,298,17.3%,64.9%
HiRit,2022,Spring,12W - 6L,66.7%,2.2,8.5,414,22%,45.7%
Humanoid,2022,Spring,13W - 5L,72.2%,4.4,9.2,441,23.2%,66.1%
Hylissang,2022,Spring,13W - 5L,72.2%,4.2,1.2,256,13.4%,68.6%
JNX,2022,Spring,7W - 11L,38.9%,2.8,8.8,403,23.4%,63.1%
Jankos,2022,Spring,11W - 7L,61.1%,2.8,5.5,329,18.1%,63.6%
Jezu,2022,Spring,7W - 11L,38.9%,4.0,9.1,409,23.8%,66.4%
Kaiser,2022,Spring,8W - 10L,44.4%,2.9,1.1,229,12.8%,78.3%
Kobbe,2022,Spring,3W - 15L,16.7%,3.6,9.6,430,25.3%,60.2%
Labrov,2022,Spring,9W - 9L,50%,2.5,1,228,12.4%,63.6%
Larssen,2022,Spring,14W - 4L,77.8%,7.0,8.9,447,23.2%,71.6%
Limit,2022,Spring,4W - 14L,22.2%,1.8,0.9,221,13%,69.5%
Malrang,2022,Spring,14W - 4L,77.8%,3.6,4.8,328,17.1%,65.4%
Markoon,2022,Spring,9W - 9L,50%,3.6,5,322,18.1%,72.8%
Mersa,2022,Spring,12W - 6L,66.7%,2.5,0.9,235,12.5%,68.8%
Mikyx,2022,Spring,7W - 6L,53.8%,2.4,1.1,237,13.2%,73.6%
Neon,2022,Spring,12W - 6L,66.7%,3.9,8.9,444,23.6%,64.8%
Nukeduck,2022,Spring,9W - 9L,50%,4.1,8.7,394,22.1%,57.1%
Odoamne,2022,Spring,14W - 4L,77.8%,6.4,8.6,415,21.6%,52.7%
Patrik,2022,Spring,9W - 9L,50%,3.7,8.9,431,24.1%,66%
Perkz,2022,Spring,9W - 9L,50%,2.8,9,416,22.6%,58.9%
Promisq,2022,Spring,3W - 15L,16.7%,2.0,1.1,224,13.1%,63.9%
Razork,2022,Spring,13W - 5L,72.2%,4.1,5.9,355,18.6%,69.2%
Reeker,2022,Spring,8W - 10L,44.4%,3.2,8,381,21.2%,59.8%
Selfmade,2022,Spring,9W - 9L,50%,2.6,6.2,354,19.4%,68.3%
Sertuss,2022,Spring,7W - 11L,38.9%,3.8,8.8,392,22.8%,65.6%
Shlatan,2022,Spring,12W - 6L,66.7%,2.9,5.5,342,18.2%,64.3%
Targamas,2022,Spring,11W - 7L,61.1%,4.3,1.2,238,13.1%,66.3%
Treatz,2022,Spring,7W - 11L,38.9%,2.6,0.9,217,12.7%,64.6%
Trymbi,2022,Spring,14W - 4L,77.8%,5.0,0.8,251,13%,75.1%
UNF0RGIVEN,2022,Spring,8W - 10L,44.4%,4.6,9.4,442,24.6%,63.6%
Upset,2022,Spring,13W - 5L,72.2%,16.5,9.7,458,24%,66.2%
Vetheo,2022,Spring,12W - 6L,66.7%,5.9,9,447,23.8%,76.2%
Whiteknight,2022,Spring,3W - 15L,16.7%,2.8,8,371,21.7%,60.1%
Wunder,2022,Spring,13W - 5L,72.2%,2.8,8.1,398,20.9%,51.6%
Zanzarah,2022,Spring,3W - 15L,16.7%,2.4,4.9,308,18.1%,79.7%
nuc,2022,Spring,4W - 14L,22.2%,3.0,8.3,377,22%,64.6%
xmatty,2022,Spring,4W - 14L,22.2%,2.7,8.7,400,23.3%,65.4%
Adam,2021,Summer,11W - 7L,61.1%,2.6,7.7,403,21.5%,52.5%
Advienne,2021,Summer,5W - 6L,45.5%,2.9,1,224,12.4%,67.8%
Armut,2021,Summer,12W - 6L,66.7%,2.9,7.7,395,21.4%,57.5%
Blue,2021,Summer,5W - 10L,33.3%,2.8,9.3,406,23.9%,71.4%
Brokenblade,2021,Summer,3W - 15L,16.7%,2.2,7.9,366,22.1%,63.1%
Bwipo,2021,Summer,11W - 7L,61.1%,3.5,6.3,366,19.4%,67.7%
Caps,2021,Summer,12W - 6L,66.7%,3.5,8.2,403,21.5%,64.6%
Carzzy,2021,Summer,12W - 6L,66.7%,4.5,9.2,446,24.1%,67.5%
Crownie,2021,Summer,8W - 10L,44.4%,6.4,10,446,24.7%,61%
Denyk,2021,Summer,2W - 5L,28.6%,1.6,1.7,221,13.8%,68.9%
Elyoya,2021,Summer,12W - 6L,66.7%,4.8,5.9,359,19.4%,70.3%
Hans sama,2021,Summer,13W - 5L,72.2%,5.9,9.7,456,24%,65.9%
HiRit,2021,Summer,12W - 6L,66.7%,3.7,8,398,21.9%,62.1%
Humanoid,2021,Summer,12W - 6L,66.7%,2.8,8.1,408,22.2%,66.7%
Hylissang,2021,Summer,11W - 7L,61.1%,2.5,1.1,248,13.1%,61%
Inspired,2021,Summer,13W - 5L,72.2%,5.3,6.4,366,19.2%,63.5%
JNX,2021,Summer,5W - 13L,27.8%,1.9,8.3,369,21.9%,51%
Jankos,2021,Summer,12W - 6L,66.7%,4.6,6.2,361,19.3%,63.1%
Jesiz,2021,Summer,0W - 5L,0%,1.3,1,206,12.8%,57.7%
Jeskla,2021,Summer,7W - 11L,38.9%,2.9,8.2,385,22.6%,64.5%
Jezu,2021,Summer,5W - 13L,27.8%,3.3,8.8,389,22.9%,59.6%
Kaiser,2021,Summer,12W - 6L,66.7%,3.4,1.1,240,13%,66.5%
Kirei,2021,Summer,3W - 15L,16.7%,1.4,5.3,306,18.5%,59.6%
Kobbe,2021,Summer,12W - 6L,66.7%,5.5,9.3,427,23.4%,61.5%
Kryze,2021,Summer,7W - 11L,38.9%,2.9,7.6,362,21%,59%
Labrov,2021,Summer,8W - 10L,44.4%,2.8,1.1,233,12.9%,72.6%
Larssen,2021,Summer,13W - 5L,72.2%,5.0,9.2,453,23.8%,59.7%
Lider,2021,Summer,8W - 10L,44.4%,3.1,8.8,424,23.5%,67.4%
Lilipp,2021,Summer,5W - 8L,38.5%,1.6,1.2,217,12.6%,54.1%
Limit,2021,Summer,3W - 15L,16.7%,1.7,1.5,222,13.4%,73%
MagiFelix,2021,Summer,7W - 11L,38.9%,3.0,8.1,384,22.6%,68.2%
Markoon,2021,Summer,5W - 6L,45.5%,3.1,5.4,341,18.9%,72.4%
Mikyx,2021,Summer,12W - 6L,66.7%,3.1,1.2,241,12.9%,64.8%
Neon,2021,Summer,3W - 15L,16.7%,1.8,9.1,392,23.7%,53.4%
Nisqy,2021,Summer,11W - 7L,61.1%,3.9,7.8,407,21.6%,64.1%
Nukeduck,2021,Summer,7W - 11L,38.9%,4.3,8.1,397,23%,70.5%
Odoamne,2021,Summer,13W - 5L,72.2%,4.0,7.7,384,20.2%,53.1%
Patrik,2021,Summer,7W - 11L,38.9%,3.7,8.9,415,24.2%,71.1%
Promisq,2021,Summer,7W - 11L,38.9%,2.0,1.6,230,13.5%,67.8%
Razork,2021,Summer,12W - 6L,66.7%,3.9,5.6,349,19.1%,78.1%
Rekkles,2021,Summer,12W - 6L,66.7%,8.7,10.3,468,25%,59.9%
SLT,2021,Summer,4W - 5L,44.4%,1.7,6.8,339,19.2%,50.7%
Selfmade,2021,Summer,8W - 10L,44.4%,3.3,6.3,357,19.7%,72.4%
Szygenda,2021,Summer,4W - 5L,44.4%,3.0,7.2,351,19.2%,54.3%
Treatz,2021,Summer,5W - 13L,27.8%,2.5,5.7,322,19%,71.1%
Trymbi,2021,Summer,13W - 5L,72.2%,3.6,1,245,12.9%,68.3%
Upset,2021,Summer,11W - 7L,61.1%,9.3,9.8,462,24.5%,62.3%
VandeR,2021,Summer,12W - 6L,66.7%,3.4,1.1,227,12.5%,61.8%
Vetheo,2021,Summer,12W - 6L,66.7%,5.3,8.9,420,23.1%,74%
Whiteknight,2021,Summer,7W - 11L,38.9%,3.6,7.7,379,22.3%,70.2%
Wunder,2021,Summer,12W - 6L,66.7%,2.9,8.4,398,21.3%,51.2%
Zanzarah,2021,Summer,7W - 11L,38.9%,2.7,5.4,323,19%,76.9%
dan,2021,Summer,2W - 5L,28.6%,2.3,5,297,18.4%,58.2%
nuc,2021,Summer,3W - 15L,16.7%,2.0,7.9,371,22.3%,58.3%
twohoyrz,2021,Summer,0W - 3L,0%,3.2,7.8,355,21.7%,62.5%
Abbedagge,2021,Spring,9W - 9L,50%,3.7,9.2,412,23.3%,69%
Armut,2021,Spring,10W - 8L,55.6%,3.2,7.4,379,20.6%,52.1%
Blue,2021,Spring,8W - 10L,44.4%,3.3,9.3,409,23.6%,61.9%
