Team,Year,Split,Role,Player
T1,2021,Spring,TOP,Zeus
T1,2021,Spring,JUNGLE,Ellim
T1,2021,Spring,JUNGLE,Oner
T1,2021,Spring,MID,Clozer
T1,2021,Spring,BOT,Gumayusi
T1,2021,Spring,BOT,Keria
T1,2021,Spring,SUPPORT,Teddy
Afreeca Freecs,2020,Summer,TOP,Kiin
Afreeca Freecs,2020,Summer,JUNGLE,Dread
Afreeca Freecs,2020,Summer,MID,Fly
Afreeca Freecs,2020,Summer,BOT,Mystic
Afreeca Freecs,2020,Summer,SUPPORT,Jelly
Afreeca Freecs,2020,Summer,JUNGLE,Spirit
Afreeca Freecs,2020,Summer,SUPPORT,Ben
DAMWON Gaming,2020,Summer,TOP,Nuguri
DAMWON Gaming,2020,Summer,JUNGLE,Canyon
DAMWON Gaming,2020,Summer,MID,ShowMaker
DAMWON Gaming,2020,Summer,BOT,Ghost
DAMWON Gaming,2020,Summer,SUPPORT,BeryL
DAMWON Gaming,2020,Summer,BOT,BeryL
DAMWON Gaming,2020,Summer,SUPPORT,Ghost
DragonX,2020,Summer,TOP,Doran
DragonX,2020,Summer,JUNGLE,Pyosik
DragonX,2020,Summer,MID,Chovy
DragonX,2020,Summer,BOT,Deft
DragonX,2020,Summer,SUPPORT,Keria
DragonX,2020,Summer,BOT,Keria
DragonX,2020,Summer,SUPPORT,Deft
Gen.G eSports,2020,Summer,TOP,Rascal
Gen.G eSports,2020,Summer,JUNGLE,Clid
Gen.G eSports,2020,Summer,MID,Bdd
Gen.G eSports,2020,Summer,BOT,Ruler
Gen.G eSports,2020,Summer,SUPPORT,Life
Gen.G eSports,2020,Summer,SUPPORT,Kellin
Hanwha Life eSports,2020,Summer,TOP,DuDu
Hanwha Life eSports,2020,Summer,JUNGLE,CAD
Hanwha Life eSports,2020,Summer,MID,Mireu
Hanwha Life eSports,2020,Summer,BOT,Viper
Hanwha Life eSports,2020,Summer,SUPPORT,Lehends
Hanwha Life eSports,2020,Summer,TOP,CuVee
Hanwha Life eSports,2020,Summer,JUNGLE,Haru
Hanwha Life eSports,2020,Summer,JUNGLE,YoungJae
Hanwha Life eSports,2020,Summer,MID,Lava
KT Rolster,2020,Summer,TOP,SoHwan
KT Rolster,2020,Summer,JUNGLE,bono
KT Rolster,2020,Summer,MID,kurO
KT Rolster,2020,Summer,BOT,Aiming
KT Rolster,2020,Summer,SUPPORT,TusiN
KT Rolster,2020,Summer,TOP,Smeb
KT Rolster,2020,Summer,JUNGLE,Malrang
KT Rolster,2020,Summer,MID,Ucal
KT Rolster,2020,Summer,BOT,TusiN
KT Rolster,2020,Summer,BOT,Smeb
KT Rolster,2020,Summer,SUPPORT,Aiming
KT Rolster,2020,Summer,SUPPORT,Smeb
Sandbox Gaming,2020,Summer,TOP,Summit
Sandbox Gaming,2020,Summer,JUNGLE,OnFleek
Sandbox Gaming,2020,Summer,MID,FATE
Sandbox Gaming,2020,Summer,BOT,Route
Sandbox Gaming,2020,Summer,SUPPORT,GorillA
Sandbox Gaming,2020,Summer,MID,Dove
Sandbox Gaming,2020,Summer,BOT,GorillA
Sandbox Gaming,2020,Summer,SUPPORT,Route
Sandbox Gaming,2020,Summer,SUPPORT,Kabbie
SeolHaeOne Prince,2020,Summer,TOP,Ikssu
SeolHaeOne Prince,2020,Summer,JUNGLE,Flawless
SeolHaeOne Prince,2020,Summer,MID,Keine
SeolHaeOne Prince,2020,Summer,BOT,Trigger
SeolHaeOne Prince,2020,Summer,SUPPORT,Mia
SeolHaeOne Prince,2020,Summer,JUNGLE,Kuma
SeolHaeOne Prince,2020,Summer,MID,Mickey
SeolHaeOne Prince,2020,Summer,BOT,HyBrid
SeolHaeOne Prince,2020,Summer,SUPPORT,Secret
T1,2020,Summer,TOP,Canna
T1,2020,Summer,JUNGLE,Cuzz
T1,2020,Summer,MID,Clozer
T1,2020,Summer,BOT,Teddy
T1,2020,Summer,SUPPORT,Effort
T1,2020,Summer,JUNGLE,Ellim
T1,2020,Summer,MID,Faker
T1,2020,Summer,SUPPORT,Kuri
Team Dynamics,2020,Summer,TOP,Rich
Team Dynamics,2020,Summer,JUNGLE,Beyond
Team Dynamics,2020,Summer,MID,Kuzan
Team Dynamics,2020,Summer,BOT,deokdam
Team Dynamics,2020,Summer,SUPPORT,GuGer
Team Dynamics,2020,Summer,BOT,GuGer
Team Dynamics,2020,Summer,SUPPORT,deokdam
Afreeca Freecs,2020,Spring,TOP,Kiin
Afreeca Freecs,2020,Spring,JUNGLE,Spirit
Afreeca Freecs,2020,Spring,MID,ALL IN
Afreeca Freecs,2020,Spring,BOT,Mystic
Afreeca Freecs,2020,Spring,SUPPORT,Jelly
Afreeca Freecs,2020,Spring,JUNGLE,Dread
Afreeca Freecs,2020,Spring,MID,Fly
Afreeca Freecs,2020,Spring,BOT,Ssol
Afreeca Freecs,2020,Spring,BOT,Jelly
Afreeca Freecs,2020,Spring,SUPPORT,Ben
Afreeca Freecs,2020,Spring,SUPPORT,Mystic
DAMWON Gaming,2020,Spring,TOP,Nuguri
DAMWON Gaming,2020,Spring,JUNGLE,Canyon
DAMWON Gaming,2020,Spring,MID,ShowMaker
DAMWON Gaming,2020,Spring,BOT,Ghost
DAMWON Gaming,2020,Spring,SUPPORT,BeryL
