Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Canyon,2021,Summer,29W - 14L,67.4%,4.6,6.5,371,20.3%,72%
Chieftain,2021,Summer,1W - 1L,50%,4.0,5.7,333,18.5%,70%
Chovy,2021,Summer,17W - 26L,39.5%,4.0,9.5,413,23.7%,64.3%
Clid,2021,Summer,26W - 17L,60.5%,4.4,5.7,333,18.4%,66%
Croco,2021,Summer,26W - 21L,55.3%,3.3,5.5,327,18.3%,70.8%
Cuzz,2021,Summer,12W - 11L,52.2%,3.8,5.9,336,18.6%,66.1%
Deft,2021,Summer,17W - 26L,39.5%,3.2,9.2,403,23.1%,63%
Delight,2021,Summer,20W - 28L,41.7%,3.1,1.3,229,13.2%,73.4%
Doran,2021,Summer,21W - 25L,45.7%,3.1,8.6,401,22.8%,66.4%
Dove,2021,Summer,20W - 25L,44.4%,3.9,8.5,394,22.4%,69.7%
Dread,2021,Summer,25W - 21L,54.3%,4.3,6.2,343,19.4%,77.2%
DuDu,2021,Summer,9W - 12L,42.9%,2.5,8.2,386,21.6%,56.2%
Effort,2021,Summer,26W - 21L,55.3%,2.5,1.1,226,12.7%,66.4%
FATE,2021,Summer,26W - 21L,55.3%,4.1,9.1,407,22.9%,62.1%
Faker,2021,Summer,25W - 19L,56.8%,3.5,8.5,394,21.7%,58.5%
Fly,2021,Summer,25W - 21L,54.3%,3.2,8.1,368,20.9%,62.2%
GIDEON,2021,Summer,2W - 3L,40%,3.0,4.9,290,16.8%,73.5%
Ghost,2021,Summer,22W - 11L,66.7%,4.6,8.6,409,22.3%,65.7%
Gori,2021,Summer,27W - 19L,58.7%,3.2,8.5,392,22%,60.7%
Gumayusi,2021,Summer,15W - 10L,60%,5.0,10,433,23.9%,63.8%
Harp,2021,Summer,14W - 14L,50%,2.7,1.9,234,13.3%,60.5%
Hena,2021,Summer,20W - 28L,41.7%,3.5,9.7,414,23.9%,64.6%
Hoya,2021,Summer,20W - 28L,41.7%,2.5,7.7,359,20.7%,57.1%
Jett,2021,Summer,4W - 17L,19%,1.8,8.1,365,21.3%,59%
Jun,2021,Summer,6W - 18L,25%,2.2,1.3,229,13.3%,71.6%
Kellin,2021,Summer,27W - 19L,58.7%,3.4,1.2,234,13.2%,66.5%
Keria,2021,Summer,25W - 19L,56.8%,3.3,1.6,242,13.3%,67.4%
Khan,2021,Summer,29W - 14L,67.4%,2.9,7.9,400,21.8%,62.2%
Kiin,2021,Summer,25W - 21L,54.3%,3.3,8.9,405,22.9%,59.6%
Lava,2021,Summer,19W - 26L,42.2%,3.8,9.1,399,23%,71.5%
Lehends,2021,Summer,25W - 21L,54.3%,3.7,1.4,229,13%,70.6%
Leo,2021,Summer,25W - 21L,54.3%,4.6,9,417,23.7%,72.7%
Life,2021,Summer,27W - 19L,58.7%,3.1,1,225,12.5%,61.8%
Malrang,2021,Summer,7W - 3L,70%,5.9,5.6,351,19.2%,68.7%
Mir,2021,Summer,8W - 8L,50%,4.0,6,343,19.1%,68.2%
Morgan,2021,Summer,8W - 14L,36.4%,2.1,7.8,362,21.1%,55.9%
Noah,2021,Summer,14W - 17L,45.2%,3.1,8.3,399,22.8%,62.6%
Oner,2021,Summer,13W - 8L,61.9%,3.8,5.7,347,19%,70%
Peanut,2021,Summer,27W - 19L,58.7%,4.8,6.8,364,20.4%,68.2%
Pleata,2021,Summer,3W - 16L,15.8%,1.7,1.2,208,12.5%,66.7%
