Team,Year,Split,Role,Player
Cloud9,2020,Summer,JUNGLE,Blaber
Cloud9,2020,Summer,MID,Nisqy
Cloud9,2020,Summer,BOT,Zven
Cloud9,2020,Summer,SUPPORT,Vulcan
Dignitas,2020,Summer,TOP,V1PER
Dignitas,2020,Summer,JUNGLE,Dardoch
Dignitas,2020,Summer,MID,FeniX
Dignitas,2020,Summer,BOT,Johnsun
Dignitas,2020,Summer,SUPPORT,Aphromoo
Dignitas,2020,Summer,TOP,Lourlo
Dignitas,2020,Summer,JUNGLE,Akaadian
Dignitas,2020,Summer,MID,Froggen
Evil Geniuses,2020,Summer,TOP,Huni
Evil Geniuses,2020,Summer,JUNGLE,Svenskeren
Evil Geniuses,2020,Summer,MID,Goldenglue
Evil Geniuses,2020,Summer,BOT,Bang
Evil Geniuses,2020,Summer,SUPPORT,Zeyzal
Evil Geniuses,2020,Summer,TOP,Kumo
Evil Geniuses,2020,Summer,MID,Jiizuke
FlyQuest,2020,Summer,TOP,solo
FlyQuest,2020,Summer,JUNGLE,Santorin
FlyQuest,2020,Summer,MID,PowerOfEvil
FlyQuest,2020,Summer,BOT,WildTurtle
FlyQuest,2020,Summer,SUPPORT,IgNar
FlyQuest,2020,Summer,BOT,Mash
Golden Guardians,2020,Summer,TOP,Hauntzer
Golden Guardians,2020,Summer,JUNGLE,Closer
Golden Guardians,2020,Summer,MID,Damonte
Golden Guardians,2020,Summer,BOT,FBI
Golden Guardians,2020,Summer,SUPPORT,Huhi
Immortals,2020,Summer,TOP,allorim
Immortals,2020,Summer,JUNGLE,Xmithie
Immortals,2020,Summer,MID,Insanity
Immortals,2020,Summer,BOT,Apollo
Immortals,2020,Summer,SUPPORT,Hakuho
Immortals,2020,Summer,TOP,sOAZ
Immortals,2020,Summer,JUNGLE,Potluck
Immortals,2020,Summer,MID,Eika
Immortals,2020,Summer,BOT,Altec
Immortals,2020,Summer,SUPPORT,Gate
Team Liquid,2020,Summer,TOP,Impact
Team Liquid,2020,Summer,JUNGLE,Broxah
Team Liquid,2020,Summer,MID,Jensen
Team Liquid,2020,Summer,BOT,Tactical
Team Liquid,2020,Summer,SUPPORT,CoreJJ
TSM,2020,Summer,TOP,Brokenblade
TSM,2020,Summer,JUNGLE,Spica
TSM,2020,Summer,MID,Bjergsen
TSM,2020,Summer,BOT,Doublelift
TSM,2020,Summer,SUPPORT,Treatz
TSM,2020,Summer,SUPPORT,Biofrost
100 Thieves,2020,Spring,TOP,ssumday
100 Thieves,2020,Spring,JUNGLE,Meteos
100 Thieves,2020,Spring,MID,Ryoma
100 Thieves,2020,Spring,BOT,Cody Sun
100 Thieves,2020,Spring,SUPPORT,Stunt
CLG,2020,Spring,TOP,Ruin
CLG,2020,Spring,JUNGLE,Griffin
CLG,2020,Spring,MID,Pobelter
CLG,2020,Spring,BOT,Stixxay
CLG,2020,Spring,SUPPORT,Smoothie
CLG,2020,Spring,MID,Crown
CLG,2020,Spring,BOT,Wind
Cloud9,2020,Spring,TOP,Licorice
Cloud9,2020,Spring,JUNGLE,Blaber
Cloud9,2020,Spring,MID,Nisqy
Cloud9,2020,Spring,BOT,Zven
Cloud9,2020,Spring,SUPPORT,Vulcan
Cloud9,2020,Spring,BOT,Vulcan
Cloud9,2020,Spring,SUPPORT,Zven
Dignitas,2020,Spring,TOP,Huni
Dignitas,2020,Spring,JUNGLE,Akaadian
Dignitas,2020,Spring,MID,Froggen
Dignitas,2020,Spring,BOT,Johnsun
Dignitas,2020,Spring,SUPPORT,Aphromoo
Dignitas,2020,Spring,JUNGLE,Armao
Evil Geniuses,2020,Spring,TOP,Kumo
Evil Geniuses,2020,Spring,JUNGLE,Svenskeren
Evil Geniuses,2020,Spring,MID,Jiizuke
Evil Geniuses,2020,Spring,BOT,Bang
Evil Geniuses,2020,Spring,SUPPORT,Zeyzal
Evil Geniuses,2020,Spring,BOT,Zeyzal
Evil Geniuses,2020,Spring,SUPPORT,Bang
FlyQuest,2020,Spring,TOP,solo
FlyQuest,2020,Spring,JUNGLE,Santorin
FlyQuest,2020,Spring,MID,PowerOfEvil
FlyQuest,2020,Spring,BOT,WildTurtle
FlyQuest,2020,Spring,SUPPORT,IgNar
FlyQuest,2020,Spring,TOP,V1PER
FlyQuest,2020,Spring,BOT,IgNar
FlyQuest,2020,Spring,SUPPORT,WildTurtle
Golden Guardians,2020,Spring,TOP,Hauntzer
Golden Guardians,2020,Spring,JUNGLE,Closer
Golden Guardians,2020,Spring,MID,Goldenglue
Golden Guardians,2020,Spring,BOT,FBI
Golden Guardians,2020,Spring,SUPPORT,Huhi
Golden Guardians,2020,Spring,SUPPORT,KEITH
Immortals,2020,Spring,TOP,sOAZ
Immortals,2020,Spring,JUNGLE,Xmithie
Immortals,2020,Spring,MID,Eika
Immortals,2020,Spring,BOT,Apollo
Immortals,2020,Spring,SUPPORT,Hakuho
Immortals,2020,Spring,BOT,Altec
Team Liquid,2020,Spring,TOP,Impact
Team Liquid,2020,Spring,JUNGLE,Broxah
Team Liquid,2020,Spring,MID,Jensen
Team Liquid,2020,Spring,BOT,Doublelift
Team Liquid,2020,Spring,SUPPORT,CoreJJ
Team Liquid,2020,Spring,JUNGLE,Shernfire
Team Liquid,2020,Spring,BOT,Tactical
TSM,2020,Spring,TOP,Brokenblade
TSM,2020,Spring,JUNGLE,Dardoch
TSM,2020,Spring,MID,Bjergsen
TSM,2020,Spring,BOT,Kobbe
TSM,2020,Spring,SUPPORT,Biofrost
